微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Ht4HdkPo5,转发微博已被删除,无,2019-05-07 12:52,无,260801,900686,139214
HsV8UbOZd,转发微博已被删除,无,2019-05-06 12:32,无,214298,714513,109950
HsDF8tzyp,转发微博已被删除,无,2019-05-04 16:02,无,250519,730208,136711
Hs6lgtHNE,[看看]🐝在找什么🤔  原图 ,无,2019-05-01 03:13,无,288426,1000000,208735
Hs3XG1mDc,我的假期安排 早上做音乐 中午打游戏 晚上…做个小推荐 @碧欧泉Biotherm 男士水动力清透精华露 全天#开启高能模式#  [组图共2张] 原图 ,无,2019-04-30 21:09,无,322772,330515,106002
Hs0WUdUay,"转发理由:长江之行 准备出发[加油] #极限挑战#  
原始用户: 东方卫视极限挑战
转发内容: #极限挑战#长江之行，迎难而上！岳岳@岳云鹏 已做好准备，与神算子@黄磊微博 艺兴@努力努力再努力x  共同并肩，一往无前吧[加油]！东方卫视极限挑战的微博视频  ",无,2019-04-30 13:29,无,169578,141140,35656
HrQqzn04o,这海狮真大(･ω･っ)З  [组图共6张] 原图 ,无,2019-04-29 10:42,无,396297,641788,179627
HrI18t3z5,"转发理由:#极限挑战# 5月 来吧来吧 这是高手  
原始用户: 东方卫视极限挑战
转发内容: #极限挑战#@黄磊微博 @羅志祥 @努力努力再努力x  @演员王迅  @Dear-迪丽热巴 @岳云鹏 @雷佳音 脚踏竹筏，乘风破浪！一段奇妙的长江之旅即将开启，东方卫视5月起每周日21点档，我们一起踏浪前行！  原图 ",无,2019-04-28 13:17,无,183389,107909,61563
HrGM1o3zP,"转发理由:#五四百年# 回顾历史 缅怀先烈 让我们一起弘扬五四精神 贡献青春力量[拳頭]  
原始用户: 青年湖南
转发内容: #五四百年##五四精神传承有我#  青春不息、奋斗不止。团子们，今年是五四运动100周年，让我们和大使张艺兴@努力努力再努力x 一起回顾那场波澜壮阔的革命青年运动，进一步弘扬伟大的五四精神，将青春梦汇聚成中国梦，在实现中华民族伟大复兴的征程中贡献我们的青春力量！ 青年湖南的秒拍视频                      ",无,2019-04-28 10:07,无,127298,85940,51414
HrsE3ojLR,#新青年耀青春##我宣誓你接力# 百年传承 今日到我 激荡未来 壮志在我 青春万岁 强国有我 努力努力再努力x的秒拍视频  ,无,2019-04-26 22:09,无,186945,239863,149887
Hrb96p774,重庆 火锅 开心开心 #极限挑战#  原图 ,无,2019-04-25 01:36,无,384676,314649,173065
Hr0TKmHJr,"转发理由:四舍五入 今天和李老师见过了  
原始用户: 李荣浩
转发内容: 很荣幸入驻杜莎夫人蜡像馆  另外还见了个老熟人 这下不容易组合永远在一起了  [组图共2张] 原图 ",无,2019-04-23 23:31,无,242967,70908,59729
HqRjhCHrl,"转发理由:一起阅读 一起悦读 //@共青团中央:腹有诗书气自华，愿你多读书，读好书 //@浙江团省委:#423共青团送书# 快来查收三位无限阅读者的独家私藏书单，体验不一样的阅读方式，和三位无限阅读者一起开启新时代，新悦读！  
原始用户: 腾讯微信读书
转发内容: #423共青团送书# 由共青团中央社会联络部 @共青团中央 主办的“新时代·新悦读”2019世界读书日系列活动的启动仪式将联合共青团浙江省委@浙江团省委 在杭州共同主办。主办方携手微信读书App邀请张艺兴 @努力努力再努力x 、佟丽娅 @佟丽娅  、唐家三少 @唐家三少   作为本次活动的特别领读人—无限阅读者，鼓励全民阅读。快来查收三位无限阅读者的独家私藏书单，体验不一样的阅读方式，和三位无限阅读者一起开启新时代，新悦读！         [组图共3张]      原图                     ",无,2019-04-22 23:06,无,130779,58663,68881
HqwLk2gwC,"转发理由:就是今天 来电影院看我师父的“超能力”[狗]//@黄磊微博:书生被逼急也能当刺客，没有超能力也要做妮蔻的英雄，4月20日，谢谢你来过，电影院见。  
原始用户: 电影狗眼看人心
转发内容: #电影狗眼看人心# 曝“复仇”版终极预告！当“狗咬狗”变成“人斗人”，和解终是无解，怎能辜负舍命救主的妮蔻？没有超能力，也要做彼此的英雄，复仇之战一触即发，我们为公道死磕到底！4月20日，谢谢你来过@黄磊微博 @素描闫妮 #韩童生# @崔新琴 #安吉##丁嘉丽# @冯嘉怡 @沙溢 @果靖霖 @胡可 猫...全文 ",无,2019-04-20 18:48,无,158584,101799,81214
HpT0Y15r2,新做的一首trap 可以欣赏一下 努力努力再努力x的微博视频  ,无,2019-04-16 13:36,无,264501,406813,294744
HpMwI6ZbW,#张艺兴掌掌眼# 最后一期 来看看这抹闪耀千年的蓝 P.S.想知道大家这段时间都学到了什么知识点 晚点来抽查 微博视频 #张艺兴掌掌眼#  ,无,2019-04-15 21:05,微博视频,146814,240913,210230
HpDMoEU5a,正确角度  原图 ,无,2019-04-14 22:49,无,321038,272002,191724
HphO4F1Kx,哥 你丢在我手机里的照片给你找到了@岳云鹏  显示地图 [组图共2张] 原图 ,@岳云鹏,2019-04-12 14:53,三星A8s黑瞳全视屏,335223,225911,177358
Hpb6W6Wzv,#张艺兴掌掌眼# 千年磨砺 温润有方 今天 来聊一聊身边玉 微博视频 #张艺兴掌掌眼#  ,无,2019-04-11 21:50,微博视频,149464,168581,107010
HoSYJszGl,"转发理由:哎呀 恭喜红雷哥！  
原始用户: 孙红雷
转发内容: 2019.4.9，21点26分，女儿第一次清清楚楚的叫了我爸爸快，让我哭一会儿  ",无,2019-04-09 23:41,无,278480,36602,31531
HoS0rciLp,#张艺兴掌掌眼# 一茶一壶一学问一起学习 微博视频 #张艺兴掌掌眼#  ,无,2019-04-09 21:12,微博视频,146750,172882,117080
Hoyart2fV,昨天结束后 和陈刚导演 姜滨总 李荣浩老师还有艾福杰尼老师一起去庆功宴 聊了很久 聊的很开心 聊这些孩子们巨大的进步 聊ninepercent都当哥哥了 聊时光的飞逝 聊我们永恒不变的是我们挚爱的音乐出道 是一件值得开心的事情 但是团队出道和个人能出道是不一样的 在一个团队里 是需要打配合的 由于个人能力和人气的不同 就是会有人更受重视 有人稍显被忽略 所有出道在团队里的孩子们 要认清这一点 一个表演 是为了整体效果 心里不要怀着“委屈感” 把自己表演那个部份做到足够好 会有属于你的目光停留在你的身上 unine这个组合 是限定团 是在有限的时间里组合在一起的 我也希望各位成员能真正体会这段一群人在一起奋斗的时光 过去了 你就只剩下一个人的单打独斗 不安全感会更大 因为你不再有伙伴了 所以 即便接下来的时光有一些小矛盾 也请好好珍惜你们的团队时光 只有你们九个人一起站在台上的时候 光芒是最大的 那是永生值得骄傲的光荣岁月没有出道的孩子们 我们这个职业就是一个很神奇的领域 有着各种奇妙的机会 记着你们答应过我的话 在摄影机看不到的地方 也要继续练习 你永远不知道机会什么时候从天而降 而我希望那时候 你们已经做好了准备我不算是最成功的艺人 但是也已经做了两年PD的工作 虽然中间有过挣扎 但是仍然以认识了你们二百位少年 并成为了你们的“PD”为荣 你们也教会了我很多 鼓舞了我很多 最后送给大家一句话共勉 岁月很长 唯有实力是我们最可信赖的能力另外真心感谢全体工作人员 四个月一并走来 大家辛苦了             [组图共3张]      原图                             ,无,2019-04-07 18:42,无,599933,320420,620671
HolJCpsOL,敢问路在何方 路在脚下 小时候看《西游记》的时候 就特别喜欢@蒋大为 老师的这首歌 现在有机会在#青春有你#的决赛舞台上一起合作 很荣幸 期待今晚的合作 更期待今晚训练生们的舞台 越努力越优秀 四个月的路程只是开始 不论结果如何 希望每一个人都能够享受舞台 今晚见  [组图共2张] 原图 ,无,2019-04-06 11:03,无,267615,247964,144627
Ho7TI0aC6,"转发理由:这个瓶子有一眼 只看图片就能感受到蒙恬将军的气贯长虹 //@松松發文物资料君:新晋文物博主@努力努力再努力x 来给掌掌眼呗  #张艺兴掌掌眼#  
原始用户: 松松發文物资料君
转发内容: 【国宝级元青花之蒙恬将军】玉壶春造型，细长颈，喇叭口，胆腹，线条柔美。釉光滋润。外壁用上等青料绘蒙恬将军通景故事图，画面正中蒙恬将军身披甲袍坐于扶椅中，其头戴长翎冠，足蹬云靴，右手伸前似在施令，威风凛凛，好生耀眼。身后佩刀士兵执火焰纹牙旗，上书“蒙恬将军”四字，昭示身份。而画面另一面，蒙恬将军迎面走来一名持弓武士，似在报告，其手指处，一位武士则抓着一位身着锦绣的贵人跪在地上。其绘人物形象生动，通景布置紧密联系，青料调色浓淡相宜，用笔细致，主次鲜明，发色上乘，无可争议的元代青花瓷神品。其故事或为元刊本《全相平话·秦并六国》（图9）卷下的蒙恬抽丁筑长城：“（秦始皇）帝令蒙恬，兴兵三十万，北伐匈奴……可筑长城……蒙恬领圣旨，起发大兵三十万，为招讨，往河南，起集万民，赴沙场，筑长城万里……蒙恬往北塞为招讨，管领三十万人，文字下诸郡，三丁抽一，来赴沙场，筑起城墙，不问士宦豪杰之家，尽行起发赴场，如违，差兵捉拿斩首号令。”好一句“不问士宦豪杰之家，尽行起发赴场，如违，差兵捉拿斩首号令”，正是此件元青花玉壶春瓶中所绘故事的真实写照。1956年湖南省常德市桃源县出土，湖南省博物馆藏。国宝级元青花玉壶春。         [组图共9张]      原图                     ",无,2019-04-04 23:49,无,145561,48996,30679
Ho6V32AJg,#张艺兴掌掌眼# 原来 天青色等的不只是烟雨 还有征战归家的热血将军 微博视频 #张艺兴掌掌眼#  ,无,2019-04-04 21:20,微博视频,196816,263256,111553
HnYilqkdv,日常不定期打卡✖️1 努力坚持 努力努力再努力x的秒拍视频  ,无,2019-04-03 23:22,无,250206,416830,128044
HnFDGv2P2,#张艺兴掌掌眼# 鼻烟壶这个内画有点厉害 想试试 微博视频 #张艺兴掌掌眼#  ,无,2019-04-01 23:53,微博视频,140254,496291,115670
HnDvWan9l,大家好 我八块腹肌准备好了开玩笑的哈  [组图共3张] 原图 ,无,2019-04-01 18:28,无,376616,614329,121700
HnciHxbrN,"转发理由:两位骗子是谁 我觉得 人和人之间还是要多一些信任  
原始用户: 爱奇艺青春有你
转发内容: #青春有你# 最后一次排名公布现场，青春制作人代表张艺兴@努力努力再努力x 被CUE在舞台上的可令怕“是那个从地上跳起来，脸（手）先着地的动作”我们张制作人听得一脸懵。春卷悄悄猜测今天上线的是“酒窝骗子”没错了！ 嘘 不要被“板脸骗子”看到了 青春制作人们知道是哪个动作么？《青春有你》张艺兴被催婚现场 许珑瀚语出惊人“很操心”                     ",无,2019-03-29 21:11,无,175303,460539,111567
Hn2o6F1Ee,#张艺兴掌掌眼# 葫芦有了 还缺个蝈蝈 微博视频 #张艺兴掌掌眼#  ,无,2019-03-28 19:57,微博视频,179018,1000000,176771
Hn0PWibqx,"转发理由:小猪哥我来啦 这里也要点一份罗志祥！  
原始用户: 羅志祥
转发内容: 谢谢胡校长帮罗志祥量身打造一首罗志祥的歌 也希望大家听了也都会喜欢罗志祥 罗志祥的罗志祥希望大家都去听罗志祥 去唱K也要点罗志祥 哈哈哈快去听罗志祥吧这是一首“罗志祥”的情歌，今天你“罗志祥”了吗@胡彥斌 #罗志祥NO IDEA# QQ音乐：http://t.cn/EJi3mKr酷狗音乐：http://t.cn/EJi3mKE酷我音乐：http://t.cn/EJi3mK8网易云音乐：http://t.cn/EJi3mKd虾米音乐：http://t.cn/EJi3mK3Apple Music：罗志祥咪咕音乐：罗志祥              原图                     ",无,2019-03-28 16:00,无,166653,51570,29812
HmCqsrbVl,有人可以推荐给我 香港 好吃的菠萝油们吗？唔该晒  原图 ,无,2019-03-26 01:52,无,314539,869703,174655
HmzLsa94Y,#张艺兴掌掌眼# 博物馆初体验之烫蜡 感谢@于鸿雁老于 老师的悉心讲解 每一门倾注匠心的传统工艺都值得被看见 微博视频 #张艺兴掌掌眼#  ,无,2019-03-25 19:05,微博视频,176718,627078,102284
HmqkhnPen,#张艺兴掌掌眼# 去了趟博物馆 又过了把黄金瞳的瘾  学习了很多传统文化知识 希望大家也可以分享你们身边的传统文化 #电视剧黄金瞳# 微博视频 #张艺兴掌掌眼#  ,无,2019-03-24 19:03,微博视频,190990,576335,105509
Hm7s2eyyi,液色潮流正在蔓延，@MAC魅可 为你塑造一百种可能。今晚19:00， #幻液之唇# 直播见。http://t.cn/Exg90dM  #天猫超级品牌日#  原图 ,无,2019-03-22 19:00,无,251101,726245,154298
HlUwQvMYJ,祝H&M天猫官方旗舰店一周年快乐，现在搜索“HM”，获得来自春季的生日礼物，一起#穿行时髦#，用正确方式迎接春天@HM中国  [组图共2张] 原图 ,无,2019-03-21 10:07,无,316993,605009,126818
HlDGM26ux,自打有了黄金瞳  我都是多眸出街  原图 ,无,2019-03-19 15:14,无,401445,851490,182334
Hl4Vz0tKJ,想说2件事1 @东方卫视极限挑战 我们又回来啦 欢迎新朋友 节目里不懂的可以问我 虽然我也还没完全明白2 听说今晚#青春有你#有种泥石流人名造句比较火 谁来用庄睿造个句 #电视剧黄金瞳#  [组图共3张] 原图 ,无,2019-03-15 22:45,无,323495,953156,198793
Hl1wdF0Nb,"转发理由:庄睿快来看 黄金瞳的副作用有药了#电视剧黄金瞳#  
原始用户: 丁香医生
转发内容: @努力努力再努力x  庄睿同学：建议以后用眼时，有意识地看一会儿休息一会（不要老盯着石头想开出翡翠）休息时多看看远处，让眼睛放松，还要多眨眨眼睛（wink也不错哦～）敲黑板！重点来了！要记住 20 - 20 - 20 原则： 每使用电脑 20 分钟，向  20 英尺（6 米左右）远处，看至少 20 秒。要是工作太忙，无法频繁休息，建议连续用眼 45 分钟后休息 5 分钟。关于用药，可以滴一点缓解疲劳的眼药水，用单纯的「人工泪液滴眼液」就可以了。一般建议一开始滴 3～4 次每天，最多可以 5～6 次每天，症状好转了可以逐渐减少滴眼次数。祝你早日康复bro，公司有个百年朝上爆老的物件，下回请你来看看。以上护眼方法同样适用于各位朋友，健康的眼睛才是真的黄金瞳，大家一定要正确护眼哦！                     ",无,2019-03-15 14:04,无,166270,43408,36806
Hl0HKaPQf,春天到了 与@FarEastMovement远东韵律 的合作新曲《Lovebird》送给大家 希望你们在这个美好的季节里也能度过美好的时光 http://t.cn/EM1oaUQ努力努力xxxx的美拍  ,无,2019-03-15 12:00,无,198595,834777,163538
HkoZNFWTG,《lovebird》with @FarEastMovement远东韵律 3月15日见  [组图共4张] 原图 ,无,2019-03-11 12:00,无,268023,889757,262173
Hkok5guo9,"转发理由:  
原始用户: 红秀GRAZIA
转发内容: 397期#张艺兴红秀封面# 来了！本期我们邀请到#张艺兴[超话]# @努力努力再努力x 和与他并肩走过电音之路的宇宙队。采访时，张pd侧身坐在沙发上，简单的白T黑裤球鞋，状态放松。风平浪静的外表，却丝毫掩饰不住内心的波澜——希望有一天登上格莱美舞台，但也看到自己“离格莱美还很远”。这是个清醒的理想主义者，他说：“在有限的生命里爬到你能爬到的最高点就行了。”摄影:@Zhonglin_ 造型:@CREAMMAO 采写:@李大洋李小洋         [组图共9张]      原图                     ",无,2019-03-11 10:17,无,162996,161486,60093
Hk0lM1jxR,祝各位女性朋友们 节日快乐 每天都快乐 努力努力xxxx的美拍  ,无,2019-03-08 21:15,无,363939,1000000,213545
HjyBK8XOQ,#电视剧黄金瞳# 为什么老说庄睿凭本事单身  原图 ,无,2019-03-05 22:38,无,323255,1000000,249350
HiW8mDsko,借我借我一双慧眼吧  原图 ,无,2019-03-01 20:41,无,365613,1000000,221224
HiUR57lgF,"转发理由:看过了迅哥 百年朝上 爆老  
原始用户: 演员王迅
转发内容: 庄睿，哥这儿有个百年老物件，你给掌掌眼呗@努力努力再努力x  [组图共2张] 原图 ",无,2019-03-01 17:25,无,252556,255718,65723
HiM1Nv2BF,我的四弟 今天已经感叹很多次还是想再说一次 真的太像了 感谢@香港杜莎夫人蠟像館  [组图共3张] 原图 ,无,2019-02-28 18:57,无,316907,1000000,195713
HiDxFuZT0,"转发理由:I kind of like it toocute boy @GavinThomas  
原始用户: 由你音乐榜
转发内容: #由你音乐榜#假笑男孩随“兴”舞动，听完《When It's Christmas》被#张艺兴[超话]#@努力努力再努力x 秒圈粉，不仅11次大呼“我喜欢这首歌”，还伴随尬舞不能停！戳视频，看Gavin“入坑”全过程，原来听到好歌的我们都一样！[笑而不语]被张艺兴秒圈粉？假笑男孩随“兴”舞动  ",无,2019-02-27 21:21,无,177204,169057,42585
HitdDgSMS,庄睿让我帮忙发个微博帮他找下工作 #电视剧黄金瞳#  原图 ,无,2019-02-26 19:04,无,277449,1000000,175363
HhTrr5G1b,看完了今晚的#青春有你# 也没等到《SHEEP》的表演 是安排在下期了吗？  [组图共2张] 原图 ,无,2019-02-22 23:59,无,323057,1000000,168150
HhT18wiZC,庄老板下周见 #黄金瞳定档0226#  原图 ,无,2019-02-22 22:54,无,321653,1000000,169462
HhP7Fav2n,致敬时代偶像 尽情享受音乐 很尽兴的一次合作 Let’s Shut Up & Dance Let's shut up & dance (Dedicated to Michael Jackson)  ,无,2019-02-22 13:00,无,236524,877895,129703
HhGEt8Pqp,"转发理由:恭喜@三水壬 等520名用户等额平分【683280元现金】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台  
原始用户: 努力努力再努力x
转发内容: 今天情人节 为同样没节过的大家准备了#情人节关爱金# 关注我与@让红包飞 并转发这条微博 给520个人 每人1314元红包 祝大家今天都不酸 都快乐 @微博抽奖平台 2月21日公布获奖名单  原图 ",无,2019-02-21 15:26,微博抽奖平台,93828,9366,11635
HhuHgbrTb,2月22日《Let’s Shut Up & Dance》 期待 努力努力xxxx的美拍  ,无,2019-02-20 09:00,无,210280,821405,155417
HhqXcFhIJ,祝大家元宵节快乐 你们今天吃的都是什么馅儿的元宵呢 我先来 我吃的是姜汁黑芝麻的  原图 ,无,2019-02-19 23:28,无,358130,824609,131208
HhdrRlUrT,"转发理由:哥过完年怎么还瘦了呢 大家记得多多支持瘦了的渤哥 支持疯狂外星人  
原始用户: 黄渤
转发内容: 年后开工，#疯狂的外星人#南京[胜利]🏻见过很多送花的朋友，第一次见给我扔香蕉的[眼泪]一定是观影后遗症  [组图共4张] 原图 ",无,2019-02-18 13:05,无,247386,467491,109608
HgAwDEu86,今天情人节 为同样没节过的大家准备了#情人节关爱金# 关注我与@让红包飞 并转发这条微博 给520个人 每人1314元红包 祝大家今天都不酸 都快乐 @微博抽奖平台 2月21日公布获奖名单  原图 ,无,2019-02-14 10:00,无,424944,1046946,359333
HgrSW3zxB,祝·我没的过·但你们要好好过的·情人节 快乐 已经在@Milka妙卡 备好礼物了 快去领  原图 ,无,2019-02-13 12:00,无,461761,1000000,263256
Hg7vpgfkL,"转发理由:非常开心能来到格莱美现场 今天就是来当观众的 感受一下全世界最难登上的舞台  
原始用户: 动感101
转发内容: #动感101直击格莱美# 第61届#格莱美##动感101# 音乐大使#张艺兴[超话]# @努力努力再努力x 以官方唯一邀请中国艺人的身份踏上格莱美红毯，与世界级顶尖音乐人并肩感受一年一度的全球音乐盛事！今天，小努力是你们的大骄傲[good][加油]  [组图共2张] 原图 ",无,2019-02-11 08:07,无,321337,1000000,239268
HfAhH2KFZ,大家过年吃好喝好了吗 我会抽出评论里过年吃饭吃得像欢哥这么香的1个人 超大糖福禄送你  原图 ,无,2019-02-07 19:32,微博 weibo.com,533561,1000000,307525
Hf8ZB5PAr,祝大家新年快乐好运莲莲 每天都有糖福禄 来抽奖吧 微博视频  ,无,2019-02-04 22:04,微博视频,545002,1000000,256580
Hf8zzkWdw,明星动态  ,无,2019-02-04 21:00,明星动态,253532,54549,28829
HeFPG0Tck,今晚#即刻电音#决赛夜 特别感谢李玟姐@CoCo李玟 前来助阵 期待宇宙队最后一次舞台[火焰][火焰][火焰]  原图 ,无,2019-02-01 19:50,无,287846,1000000,183761
HeygLoTI1,一会儿就是#即刻电音# 最后一次彩排 三个月即刻熬夜马上就要结束了 突然有点舍不得 明天直播决赛祝福@Anti-General @JasmineSokko楚晴 @陶乐然嘛DOLLARZOO 可以得到更多的支持和点赞 宇宙队加油  [组图共3张] 原图 ,无,2019-02-01 00:34,无,231747,508114,140819
HdTnhqYzI,"转发理由:拍得顺利 聊得开心 感谢大家  
原始用户: 智族GQ
转发内容: #新刊#《智族GQ》2019年2月刊 封面人物#张艺兴[超话]# @努力努力再努力x 封面故事张艺兴：我不喜欢自己的脸  [组图共8张] 原图 ",无,2019-01-27 16:28,无,237770,691912,189301
HdQU27uXP,"转发理由:时间在走但年味儿不变 和家人在一起有爱有团圆就是#我家的年味儿# 你的呢  
原始用户: 人民网
转发内容: #祝福中国年#【@努力努力再努力x 张艺兴：“高高的树上结槟榔 谁先爬上谁先尝”#我家的年味儿#你听过吗？】春节，是热乎的年夜饭，也是父母的期盼；是那一声“过年好”，也是回家团圆。嚼槟榔算湖南一景了，在长沙就有送槟榔的特色年俗，寓意财源滚滚招财进宝。你家过年送啥？人民网的秒拍视频  ",无,2019-01-27 10:10,无,182250,398021,154293
Hdz31CCau,"转发理由:感谢一路陪伴 很开心继续携手 再次开启新旅程  
原始用户: Valentino官方微博
转发内容: Valentino正式宣布歌手、演员、音乐制作人#张艺兴# @努力努力再努力x 成为品牌首位大中华区男装代言人。跟随镜头，一同观赏由Valentino携手@智族GQ 特别呈现「张艺兴的A to Z」，发觉多面个性。张艺兴工作室💫的美拍  ",无,2019-01-25 12:43,无,255659,1000000,165902
Hd98l9Rgz,新的一年，想要努力去做的事情之一，就是多一点时间陪伴家人。一起用汰渍三色洗衣球 “洗”迎2019吧 #京晚8点 年味触手可及# http://t.cn/RSiFy20努力努力xxxx的美拍  ,无,2019-01-22 18:45,无,237896,653204,131625
HcW4y6alU,追梦时刻，快和我一起来一块入口即化的妙卡巧克力吧！让温暖融情的感觉，时刻伴随你。未来的追梦旅程，我也会和@Milka妙卡 一起为大家助力加油，一路挺你[加油]！http://t.cn/EqDT9Ff #暖融在心，挺你！#  原图 ,无,2019-01-21 09:30,无,237583,575510,122102
HcRLcpr6l,今晚 爽演唱会见  [组图共6张] 原图 ,无,2019-01-20 22:31,无,357855,1000000,208078
Hcd61dOR2,在缘分海洋中最好的关系如同字母X一样 深爱 无限又紧密相连情人节 以X为盟探索心与心的交点邂逅那份最特别的专属情缘  [组图共3张] 原图 ,无,2019-01-16 15:00,无,335425,847870,252421
Hc2gU5699,我是@爱奇艺VIP会员 代言人张艺兴，快来@爱奇艺 和我一起分享尽兴时刻！视频中有福利，点赞有惊喜哦~#快乐要尽兴# 爱奇艺VIP会员代言人张艺兴完整版官宣  ,无,2019-01-15 11:26,无,335110,795208,192557
HbD00jmfg,今天是宇宙队的出道舞台 风格完全不一样的我们通过音乐融合到一起 1+1+1+1+1+1>6 宇宙之队 有点昂贵 @Anti-General @胖大虎-HusH @JasmineSokko楚晴 @TSUNANO祖那諾 @DOLLARZOO #即刻电音#  [组图共3张] 原图 ,无,2019-01-12 19:06,无,245031,836470,218660
HbuNWyzdS,"转发理由:《“大”人物》已登场 来一次《灵魂的救赎》 感受陪伴的温暖 支持迅哥新电影[加油]  
原始用户: 演员王迅
转发内容: 《“大”人物》已经解气上映，今天，我主演的另一部电影《灵魂的救赎》也上映了，和大家一起看完电影，心里感动如初。这并不是一部豪华制作的影片，但却是一部用心创作的影片。人生很简单，陪伴让一切变得温馨温暖温情。希望你们能喜欢[祈祷][祈祷][祈祷]#灵魂的救赎#  [组图共3张] 原图 ",无,2019-01-11 22:14,无,179332,183174,45425
HbtcVpNj1,"转发理由:莫道昆明池水浅 观鱼胜过富春江  
原始用户: 青年湖南
转发内容: #新时代新青年[超话]# 牢骚太盛防肠断，风物长宜放眼量。 ——毛泽东《七律·和柳亚子先生》 #五四百年#  原图 ",无,2019-01-11 18:10,无,203447,250866,98004
Hbgn5BdrZ,来来来，告诉你们一个秘密，我最爱的@蒙牛纯甄 又有新成员啦！那就是水果C位，红西柚口味的纯甄小蛮腰～新年限量首发传送门http://t.cn/EGFsSfy惊喜从今天开始～#纯甄小蛮腰 好喝到底# 努力努力xxxx的美拍  ,无,2019-01-10 09:30,无,195720,576184,167402
Hb0jBk8U9,"转发理由:#青春有你# 我是青春制作人代表张艺兴 接下来的日子我将严格要求训练生们 希望能对正在追梦的他们有所帮助 越努力越优秀 各位青春制作人们 请多关照  
原始用户: 爱奇艺青春有你
转发内容: 用音乐发声，以专业严谨态度助力青春梦想他是新时代青年榜样，#青春有你# 青春制作人代表张艺兴@努力努力再努力x 越努力，越优秀！  原图 ",无,2019-01-08 16:37,无,230073,763008,188840
HaIJDqy0P,今晚 不就是全民吐槽 我想开了  原图 ,无,2019-01-06 19:52,无,492640,658041,184889
HahMErG0R,歌词表达心意 曲调表达感情 音乐最纯粹 我们队的歌 无人之域 抢先版请听《无人之域》（原创）编曲/作曲/作词/演唱及表演：张艺兴/Anti-General/Jasmine沙漏的一瞬在失落的星辰黯淡我的眼光徘徊了一年留在那发梢已经无人知晓yeah稚嫩行星安于指间there’s nobody else nobody else like...全文 ,无,2019-01-03 23:15,无,262729,972513,221272
